imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,non-us,worlwide_gross_income_ccy,worlwide_gross_income_value
tt0037840,Donnine d'America,Junior Miss,1945,1946-11-08,Comedy,94,USA,English,George Seaton,"Sally Benson, Joseph Fields",Twentieth Century Fox,"Peggy Ann Garner, Stephen Dunne, Allyn Joslyn, Faye Marlowe, Mona Freeman, Sylvia Field, Barbara Whiting, Stanley Prager, John Alexander, Connie Gilchrist, Scotty Beckett, Alan Edwards, Dorothy Christy, William Frambes, Ray Klinge",New York teenager gets involved in everyone's lives by playing cupid. She turns the household upsidedown and gets her dad fired by fixing up her uncle with the boss's daughter.,6.8,159,,,,,8.0,1.0,0,,
tt0322629,Houve uma Vez Dois Verões,Houve uma Vez Dois Verões,2002,2002,"Comedy, Romance",75,Brazil,Portuguese,Jorge Furtado,Jorge Furtado,Casa de Cinema de Porto Alegre,"André Arteche, Ana Maria Mainieri, Pedro Furtado, Júlia Barth, Victória Mazzini, Marcelo Aquino, Janaína Kremer Motta, Yuri Ferreira, Álvaro Rosa Costa, Irene Brietzke, Cris Broilo, Renato Campão, Antônio Carlos Falcão, Alice Furtado, Julia Furtado","A coming of age dramatic comedy dealing with the effect that two ""summers"" have on the lives of several teenagers. The main story involves an innocent teenage boy and a conniving teenage ...",7.1,698,,,,,4.0,4.0,1,,
tt2342207,F.B.I.,Mais qui a re-tué Pamela Rose?,2012,2013-04-25,Comedy,90,"France, Belgium, USA",French,"Olivier Baroux, Kad Merad","Olivier Baroux, Kad Merad",LGM Productions,"Kad Merad, Olivier Baroux, Omar Sy, Laurent Lafitte, Audrey Fleurot, Guy Lecluyse, Philippe Lefebvre, Laurence Arné, Xavier Letourneur, Alain Doutey, Lionel Abelanski, Patrick Bosso, François Morel, Alice Gingembre, Michel Feder","When he receives a call from Bornsville sheriff, telling him Pamela Rose' coffin has been stolen, agent Douglas Riper sees a good occasion to meet again with his former partner Richard ...",5.3,1250,EUR 9000000,,$ 2379355,,1.0,6.0,1,$,2379355.0
tt0087062,Per piacere... non salvarmi più la vita,City Heat,1984,1984-12-07,"Action, Comedy, Crime",93,USA,English,Richard Benjamin,"Blake Edwards, Blake Edwards",Warner Bros.,"Clint Eastwood, Burt Reynolds, Jane Alexander, Madeline Kahn, Rip Torn, Irene Cara, Richard Roundtree, Tony Lo Bianco, William Sanderson, Nicholas Worth, Robert Davi, Jude Farese, John Hancock, Jack Thibeau, Gerald S. O'Loughlin",Slick Private Investigator Mike Murphy (,5.5,8905,$ 25000000,$ 38348988,$ 38348988,39.0,57.0,24.0,0,$,38348988.0
tt10834986,Gumnaami,Gumnaami,2019,2019-10-02,"Action, Drama, History",142,India,"Bengali, Hindi",Srijit Mukherji,Srijit Mukherji,SVF Entertainment,"Prasenjit Chatterjee, Anirban Bhattacharya, Tanushree Chakraborty, Sanjay Gurbaxani, Akshay Kapoor, Surendra Rajan, Anindya Sain, Jitendra Agarwal, Aman, Archana, Arup, Bacca, Shibashish Bandopadhyay, Joy Banerjee, Prantik Banerjee",Gumnaami is a film based on the Mukherjee Commission Hearings which happened from 1999 to 2005 where the three theories about Netaji,7.8,1281,,,,,52.0,1.0,1,,
tt0048620,Simba,Simba,1955,1955-03-01,"Adventure, Drama",99,UK,English,Brian Desmond Hurst,"Anthony Perry, John Baines",Group Film Productions Limited,"Dirk Bogarde, Donald Sinden, Virginia McKenna, Basil Sydney, Marie Ney, Joseph Tomelty, Earl Cameron, Orlando Martins, Ben Johnson, Frank Singuineau, Huntley Campbell, Slim Harris, Glyn Lawson, Harry Quashie, John Chandos",A European family in East Africa finds itself caught up in an uprising by local black Africans against their white colonial masters. Based on the Mau-Mau rebellion in Kenya in the early 1950s.,6.2,361,,,,,14.0,7.0,1,,
tt6150988,Long quan xiao zi,Long quan xiao zi,2016,2016-08-07,Action,98,China,Mandarin,"Sheng Tao, Wei Wang","Wei Gu, Xiang Li",Aidi FIlms,"Ruilin Liu, Kimmy Fei Tong, Chao Liang, Qiunan Lin, Wing Lun Ng, Yun Jin Cao, Ho-Man Chan, Jingwen E., Shuang Gao, Yilin Hao, QiaoQiao Jin, Raymond Patrick Kelly, Xiaojun Labi, Shangyi Li, Yong Li","A Chinese problem child from the US is sent to live with his uncle in China. He immediately runs into difficult situations there, such as a rabbit thief, the secret crush of his uncle, and ...",4.2,125,,,$ 616640,,1.0,,1,$,616640.0
tt1174049,Un uomo e il suo cane,Un homme et son chien,2008,2009-01-14,Drama,94,"France, Italy",French,Francis Huster,"Francis Huster, Murielle Magellan",F Comme Film,"Jean-Paul Belmondo, Hafsia Herzi, Sarah Biasini, Sophie Bouilloux, Rachida Brakni, Nicole Calfan, Valeria Cavalli, Dolores Chaplin, Dorothée Deblaton, Patrick Bosso, Natalia Dontcheva, Françoise Fabian, Linda Hardy, Michèle Bernier, Elisa Huster",An elderly gentleman and his dog find themselves out of a home with little means.,6.0,523,,,$ 1619594,,5.0,2.0,1,$,1619594.0
tt6949882,Shubh Aarambh,Shubh Aarambh,2017,2017-01-13,"Comedy, Drama, Family",126,India,Gujarati,Amit Barot,"Abhinay Banker, Abhinay Banker",The Travelling Circus,"Harsh Chhaya, Prachi Shah, Bharat Chawda, Deeksha Joshi, Aarjav Trivedi, Prashant Barot, Tarjanee Bhadla, Jay Bhatt, Rishi Jani","In the midst of her wedding, a young girl tries to save a 28 year old love marriage, of her future in-laws, which is falling apart.",6.9,101,INR 25000000,,,,1.0,,1,,
tt0029789,Tiranna deliziosa,Woman Chases Man,1937,1937-05-07,"Comedy, Romance",71,USA,English,John G. Blystone,"Joseph Anthony, Manuel Seff",The Samuel Goldwyn Company,"Miriam Hopkins, Joel McCrea, Charles Winninger, Erik Rhodes, Ella Logan, Leona Maricle, Broderick Crawford, Charles Halton","Former millionaire B.J. Nolan is useless with money, having lost most of his fortune on crazy schemes. His son, Kenneth, has the opposite problem thanks to good sense and a large ...",6.5,290,,,,,11.0,2.0,0,,
